CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,ZEF,ZUHF,ZUHF,7.093344055071568,5.080107970330329
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,VAEB,VAB,VAB,6.440598811114534,5.924885023031499
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,SHOES,SHIHS,SHIHS,6.84452828338432,1.546143230324155
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,ZIHSH,ZESH,ZESH,4.099161451973596,3.620398863522256
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,SUG,SIHG,SIHG,9.894606340839669,4.409353415754473
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,VIHK,VOEK,VOEK,7.502509477740467,4.946199787588278
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,SAF,SAEF,SAEF,4.104873161292891,6.26486923743149
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,VUHZ,VOEZ,VOEZ,7.8888667831753585,6.4628530663884085
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,VYB,VUHB,VUHB,10.832527643287877,4.134301005604585
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,SHUHV,SHAV,SHAV,6.06930448510259,4.156993069866286
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,ZYSH,ZIHSH,ZIHSH,6.298360884301063,6.120636139264506
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,SHAEV,SHOEV,SHOEV,4.444783220968473,4.961397640442267
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,SHIB,SHAHB,SHAHB,5.912530930881392,3.7231532860838863
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,ZUHD,ZUD,ZUD,6.515991433260861,4.259191886367443
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,ZOD,ZAED,ZAED,7.507315075656827,4.775657563602353
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,VIHK,VYK,VYK,9.2754421804818,4.951981115357936
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,ZUSH,ZAHSH,ZAHSH,7.284169521131664,5.2188119620943745
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,ZIHF,ZAF,ZAF,6.75808192756187,4.806665122716069
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,ZAV,ZUHV,ZUHV,5.964476822906654,7.201927412575075
A,Z_B,maureen_eng_4,veronique_fr_82,marc_fr_77,maureen,veronique,marc,triplet20,UH,Y,Y,ZUHB,ZYB,ZYB,8.590086590395602,6.3253854608212885
A,SH_S,maureen_fr_126,veronique_eng_54,jeremy_eng_57,maureen,veronique,jeremy,triplet21,Y,AE,AE,SHYS,SHAES,SHAES,7.772708706192382,2.368631771312055
B,V_SH,veronique_eng_60,maureen_fr_152,marc_fr_142,veronique,maureen,marc,triplet22,AE,OE,OE,VAESH,VOESH,VOESH,5.789643238577465,4.934141744279721
B,Z_D,veronique_fr_69,maureen_eng_68,jeremy_eng_68,veronique,maureen,jeremy,triplet23,I,AH,AH,ZID,ZAHD,ZAHD,7.609605528481148,3.982348699685099
A,Z_D,veronique_eng_36,maureen_fr_40,remi_fr_39,veronique,maureen,remi,triplet24,AE,E,E,ZAED,ZED,ZED,7.943576604399012,5.933621875030188
A,Z_B,veronique_fr_208,maureen_eng_215,jeremy_eng_215,veronique,maureen,jeremy,triplet25,A,IH,IH,ZAB,ZIHB,ZIHB,8.597139412658333,5.073082516950809
B,Z_B,veronique_eng_204,maureen_fr_4,remi_fr_4,veronique,maureen,remi,triplet26,IH,U,U,ZIHB,ZUB,ZUB,10.377200205842113,5.834309909738595
B,V_G,veronique_fr_47,maureen_eng_76,ewan_eng_77,veronique,maureen,ewan,triplet27,E,AH,AH,VEG,VAHG,VAHG,7.187635993253488,3.8754017632701827
A,Z_F,veronique_eng_219,maureen_fr_157,remi_fr_148,veronique,maureen,remi,triplet28,IH,O,O,ZIHF,ZOF,ZOF,7.400360109659359,3.74280079421996
A,F_P,veronique_fr_181,maureen_eng_71,ewan_eng_72,veronique,maureen,ewan,triplet29,OE,AH,AH,FOEP,FAHP,FAHP,3.228216213250687,3.6518907692405493
B,Z_D,veronique_eng_65,maureen_fr_184,marc_fr_175,veronique,maureen,marc,triplet30,AH,OE,OE,ZAHD,ZOED,ZOED,7.556514555458317,6.87802828445448
B,Z_V,veronique_fr_134,maureen_eng_100,jeremy_eng_98,veronique,maureen,jeremy,triplet31,OE,AH,AH,ZOEV,ZAHV,ZAHV,5.960442554586053,3.5882166281373085
A,Z_SH,veronique_eng_48,maureen_fr_105,marc_fr_96,veronique,maureen,marc,triplet32,AE,I,I,ZAESH,ZISH,ZISH,9.074639154043966,3.911276114096031
A,V_G,maureen_fr_197,veronique_eng_215,ewan_eng_232,maureen,veronique,ewan,triplet33,OE,IH,IH,VOEG,VIHG,VIHG,10.130688133226176,3.7145845175845857
B,Z_V,veronique_eng_95,maureen_fr_58,remi_fr_54,veronique,maureen,remi,triplet34,AH,E,E,ZAHV,ZEV,ZEV,5.643342614314521,4.640417457253775
B,F_P,veronique_fr_8,maureen_eng_219,jeremy_eng_219,veronique,maureen,jeremy,triplet35,U,IH,IH,FUP,FIHP,FIHP,7.089959710686107,4.622391492614469
A,Z_S,maureen_eng_229,veronique_fr_131,marc_fr_126,maureen,veronique,marc,triplet36,IH,OE,OE,ZIHS,ZOES,ZOES,4.937244399545699,3.6209358211625298
A,V_K,veronique_fr_76,maureen_eng_15,ewan_eng_15,veronique,maureen,ewan,triplet37,I,UH,UH,VIK,VUHK,VUHK,6.865175256055134,4.389166616103729
B,Z_G,maureen_eng_66,veronique_fr_67,marc_fr_64,maureen,veronique,marc,triplet38,AH,I,I,ZAHG,ZIG,ZIG,8.760466904178541,5.602031322463
B,V_P,veronique_fr_14,maureen_eng_14,ewan_eng_14,veronique,maureen,ewan,triplet39,U,UH,UH,VUP,VUHP,VUHP,4.88157460036229,2.9575731865435175
A,Z_V,maureen_eng_52,veronique_fr_151,remi_fr_150,maureen,veronique,remi,triplet40,AE,O,O,ZAEV,ZOV,ZOV,9.80755479726883,8.063326695110035
A,V_Z,veronique_fr_145,maureen_eng_54,ewan_eng_61,veronique,maureen,ewan,triplet41,OE,AE,AE,VOEZ,VAEZ,VAEZ,5.37704437634973,3.3803297592419206
B,V_SH,maureen_eng_236,veronique_fr_64,remi_fr_65,maureen,veronique,remi,triplet42,IH,E,E,VIHSH,VESH,VESH,4.129899989650231,1.9555353688500472
B,V_G,maureen_fr_81,veronique_eng_215,jeremy_eng_226,maureen,veronique,jeremy,triplet43,I,IH,IH,VIG,VIHG,VIHG,6.0692165270214655,5.52378696110903
A,Z_F,veronique_eng_219,maureen_fr_104,remi_fr_99,veronique,maureen,remi,triplet44,IH,I,I,ZIHF,ZIF,ZIF,4.016160043616983,4.885936760644451
A,V_G,maureen_fr_16,veronique_eng_16,jeremy_eng_16,maureen,veronique,jeremy,triplet45,U,UH,UH,VUG,VUHG,VUHG,8.910797065787548,4.358421737719924
B,Z_F,maureen_eng_50,veronique_fr_113,marc_fr_108,maureen,veronique,marc,triplet46,AE,Y,Y,ZAEF,ZYF,ZYF,9.091716604336566,3.210974562738853
B,S_G,maureen_fr_222,veronique_eng_67,jeremy_eng_70,maureen,veronique,jeremy,triplet47,A,AH,AH,SAG,SAHG,SAHG,5.94750469268086,4.299711094914433
A,Z_F,veronique_eng_104,maureen_fr_169,remi_fr_161,veronique,maureen,remi,triplet48,AH,A,A,ZAHF,ZAF,ZAF,5.9765793210327605,4.0345341037719775
A,Z_S,maureen_fr_153,veronique_eng_93,ewan_eng_98,maureen,veronique,ewan,triplet49,O,AH,AH,ZOS,ZAHS,ZAHS,3.0336602449599397,5.129449592506604
B,Z_S,veronique_eng_93,maureen_fr_168,marc_fr_158,veronique,maureen,marc,triplet50,AH,A,A,ZAHS,ZAS,ZAS,5.088282201527559,4.597522552408398
B,Z_F,veronique_fr_21,maureen_eng_50,ewan_eng_51,veronique,maureen,ewan,triplet51,U,AE,AE,ZUF,ZAEF,ZAEF,10.03088773107131,2.3501312605057545
A,SH_S,maureen_eng_117,veronique_fr_31,remi_fr_30,maureen,veronique,remi,triplet52,AH,U,U,SHAHS,SHUS,SHUS,8.996111270090122,5.795025134824068
A,Z_G,maureen_fr_183,veronique_eng_3,ewan_eng_3,maureen,veronique,ewan,triplet53,OE,UH,UH,ZOEG,ZUHG,ZUHG,7.831141879238281,5.241848956374025
B,Z_V,veronique_eng_49,maureen_fr_106,marc_fr_97,veronique,maureen,marc,triplet54,AE,I,I,ZAEV,ZIV,ZIV,10.875040852208073,8.409890042548385
B,V_K,maureen_fr_15,veronique_eng_72,jeremy_eng_74,maureen,veronique,jeremy,triplet55,U,AH,AH,VUK,VAHK,VAHK,9.260687754554182,6.204811174044764
A,F_P,veronique_eng_8,maureen_fr_205,marc_fr_199,veronique,maureen,marc,triplet56,UH,O,O,FUHP,FOP,FOP,4.106464309923329,5.214835604021561
A,Z_D,veronique_fr_83,maureen_eng_68,ewan_eng_69,veronique,maureen,ewan,triplet57,Y,AH,AH,ZYD,ZAHD,ZAHD,6.209642419260848,2.100645315548475
B,V_G,maureen_eng_76,veronique_fr_16,marc_fr_11,maureen,veronique,marc,triplet58,AH,U,U,VAHG,VUG,VUG,10.958299036054452,6.693153216306963
B,V_B,maureen_fr_198,veronique_eng_43,jeremy_eng_46,maureen,veronique,jeremy,triplet59,OE,AE,AE,VOEB,VAEB,VAEB,7.426401825546257,5.570688642638833
A,V_P,veronique_eng_86,maureen_fr_96,remi_fr_91,veronique,maureen,remi,triplet60,AH,Y,Y,VAHP,VYP,VYP,7.619892225735667,4.964965933027507
A,SH_V,maureen_fr_65,veronique_eng_115,jeremy_eng_119,maureen,veronique,jeremy,triplet61,E,AH,AH,SHEV,SHAHV,SHAHV,7.643755947703412,3.323818159683188
B,V_Z,maureen_eng_54,veronique_fr_157,remi_fr_156,maureen,veronique,remi,triplet62,AE,O,O,VAEZ,VOZ,VOZ,8.258937337151469,5.0916594285320045
B,Z_F,veronique_fr_132,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet63,OE,UH,UH,ZOEF,ZUHF,ZUHF,8.134632205820544,5.080107970330329
A,V_B,maureen_eng_227,veronique_fr_215,marc_fr_215,maureen,veronique,marc,triplet64,IH,A,A,VIHB,VAB,VAB,10.876844983667983,5.590638456321206
A,Z_F,veronique_fr_52,maureen_eng_50,jeremy_eng_50,veronique,maureen,jeremy,triplet65,E,AE,AE,ZEF,ZAEF,ZAEF,5.71815749051647,4.511796432143417
B,S_G,veronique_eng_6,maureen_fr_204,marc_fr_198,veronique,maureen,marc,triplet66,UH,O,O,SUHG,SOG,SOG,5.544184483776662,5.232818802284626
B,V_B,maureen_fr_82,veronique_eng_17,ewan_eng_17,maureen,veronique,ewan,triplet67,I,UH,UH,VIB,VUHB,VUHB,10.612572766130384,4.441996730536811
A,Z_S,maureen_eng_49,veronique_fr_20,marc_fr_15,maureen,veronique,marc,triplet68,AE,U,U,ZAES,ZUS,ZUS,9.196400564178305,2.703087296705973
A,Z_S,veronique_fr_99,maureen_eng_49,ewan_eng_50,veronique,maureen,ewan,triplet69,I,AE,AE,ZIS,ZAES,ZAES,7.296543408718486,3.367142563913702
B,F_P,veronique_eng_68,maureen_fr_90,remi_fr_86,veronique,maureen,remi,triplet70,AH,Y,Y,FAHP,FYP,FYP,7.683798543256144,4.068931737644366
B,V_K,veronique_fr_46,maureen_eng_44,jeremy_eng_44,veronique,maureen,jeremy,triplet71,E,AE,AE,VEK,VAEK,VAEK,6.030397064923645,8.08488102033631
A,S_F,veronique_eng_24,maureen_fr_26,remi_fr_25,veronique,maureen,remi,triplet72,UH,U,U,SUHF,SUF,SUF,4.054013642393124,4.753383933745308
A,V_F,maureen_fr_179,veronique_eng_32,ewan_eng_35,maureen,veronique,ewan,triplet73,A,UH,UH,VAF,VUHF,VUHF,9.983468549319019,6.5058817629171575
B,V_B,maureen_eng_46,veronique_fr_17,remi_fr_17,maureen,veronique,remi,triplet74,AE,U,U,VAEB,VUB,VUB,10.013913163613697,7.896700320140879
B,SH_B,maureen_fr_43,veronique_eng_13,ewan_eng_13,maureen,veronique,ewan,triplet75,E,UH,UH,SHEB,SHUHB,SHUHB,7.123239949463932,4.885136655190497
A,SH_B,veronique_eng_38,maureen_fr_224,marc_fr_212,veronique,maureen,marc,triplet76,AE,A,A,SHAEB,SHAB,SHAB,8.603937349266383,6.010768621080293
A,Z_V,maureen_fr_106,veronique_eng_221,jeremy_eng_232,maureen,veronique,jeremy,triplet77,I,IH,IH,ZIV,ZIHV,ZIHV,7.2522778782468675,5.79572820830868
B,SH_B,maureen_eng_223,veronique_fr_90,remi_fr_89,maureen,veronique,remi,triplet78,IH,Y,Y,SHIHB,SHYB,SHYB,6.069217662451571,6.583045744982564
B,SH_V,veronique_fr_124,maureen_eng_32,ewan_eng_32,veronique,maureen,ewan,triplet79,Y,UH,UH,SHYV,SHUHV,SHUHV,3.391517534936873,2.5310844672375388
A,Z_D,maureen_eng_5,veronique_fr_40,marc_fr_35,maureen,veronique,marc,triplet80,UH,E,E,ZUHD,ZED,ZED,4.526281211735141,3.1925430693192314
A,V_B,maureen_fr_52,veronique_eng_216,ewan_eng_233,maureen,veronique,ewan,triplet81,E,IH,IH,VEB,VIHB,VIHB,7.995019652973397,3.4566591412316052
B,Z_F,veronique_eng_104,maureen_fr_157,marc_fr_145,veronique,maureen,marc,triplet82,AH,O,O,ZAHF,ZOF,ZOF,5.572901078736685,4.523829104773853
B,V_B,veronique_fr_204,maureen_eng_77,jeremy_eng_75,veronique,maureen,jeremy,triplet83,O,AH,AH,VOB,VAHB,VAHB,6.089432716431069,6.13593541601335
A,V_B,maureen_eng_77,veronique_fr_194,remi_fr_192,maureen,veronique,remi,triplet84,AH,OE,OE,VAHB,VOEB,VOEB,7.429714229861116,5.318301885808609
A,V_SH,maureen_fr_36,veronique_eng_60,jeremy_eng_63,maureen,veronique,jeremy,triplet85,U,AE,AE,VUSH,VAESH,VAESH,7.792456645504774,4.916448082344121
B,V_P,maureen_eng_14,veronique_fr_44,marc_fr_40,maureen,veronique,marc,triplet86,UH,E,E,VUHP,VEP,VEP,7.077967342772434,2.9484585475076996
B,V_Z,maureen_fr_129,veronique_eng_116,jeremy_eng_120,maureen,veronique,jeremy,triplet87,Y,AH,AH,VYZ,VAHZ,VAHZ,11.538064243636626,5.951602219400527
A,S_G,maureen_eng_6,veronique_fr_71,remi_fr_221,maureen,veronique,remi,triplet88,UH,I,I,SUHG,SIG,SIG,5.953568505469942,3.6220893944211188
A,V_K,veronique_fr_203,maureen_eng_15,jeremy_eng_15,veronique,maureen,jeremy,triplet89,O,UH,UH,VOK,VUHK,VUHK,5.456977082931488,6.31494774243869
B,V_F,veronique_eng_59,maureen_fr_68,marc_fr_60,veronique,maureen,marc,triplet90,AE,E,E,VAEF,VEF,VEF,6.732763377910655,5.006131943836229
B,Z_V,maureen_fr_119,veronique_eng_49,ewan_eng_53,maureen,veronique,ewan,triplet91,Y,AE,AE,ZYV,ZAEV,ZAEV,7.591985294406477,4.012690387304203
A,Z_B,veronique_eng_64,maureen_fr_39,marc_fr_34,veronique,maureen,marc,triplet92,AH,E,E,ZAHB,ZEB,ZEB,8.189050879160556,6.803426038116285
A,V_SH,veronique_fr_128,maureen_eng_236,jeremy_eng_238,veronique,maureen,jeremy,triplet93,Y,IH,IH,VYSH,VIHSH,VIHSH,6.4929697217687465,5.325268664154275
B,Z_D,maureen_eng_216,veronique_fr_69,marc_fr_66,maureen,veronique,marc,triplet94,IH,I,I,ZIHD,ZID,ZID,5.007062363779164,5.664165262485786
B,Z_SH,veronique_fr_150,maureen_eng_231,ewan_eng_237,veronique,maureen,ewan,triplet95,O,IH,IH,ZOSH,ZIHSH,ZIHSH,9.150558465132788,5.136470134443526
A,V_SH,veronique_eng_101,maureen_fr_114,remi_fr_109,veronique,maureen,remi,triplet96,AH,I,I,VAHSH,VISH,VISH,6.37689573099068,5.3690441553750325
A,V_P,maureen_fr_217,veronique_eng_40,jeremy_eng_43,maureen,veronique,jeremy,triplet97,O,AE,AE,VOP,VAEP,VAEP,6.428100373724539,3.8699000010042304
B,Z_S,veronique_eng_20,maureen_fr_116,marc_fr_107,veronique,maureen,marc,triplet98,UH,Y,Y,ZUHS,ZYS,ZYS,7.087623628837488,5.951153910412327
B,Z_B,maureen_fr_73,veronique_eng_35,ewan_eng_38,maureen,veronique,ewan,triplet99,I,AE,AE,ZIB,ZAEB,ZAEB,8.756009100277263,3.7927866339128915
A,Z_G,maureen_eng_3,veronique_fr_207,marc_fr_207,maureen,veronique,marc,triplet100,UH,A,A,ZUHG,ZAG,ZAG,8.947216480584048,4.186667620736806
A,Z_V,veronique_fr_164,maureen_eng_100,ewan_eng_101,veronique,maureen,ewan,triplet101,A,AH,AH,ZAV,ZAHV,ZAHV,4.64444147959989,4.5467846357220765
B,V_B,maureen_eng_227,veronique_fr_204,marc_fr_204,maureen,veronique,marc,triplet102,IH,O,O,VIHB,VOB,VOB,11.918008650146227,8.578351312207568
B,Z_G,maureen_fr_219,veronique_eng_203,ewan_eng_220,maureen,veronique,ewan,triplet103,A,IH,IH,ZAG,ZIHG,ZIHG,9.31077425494459,4.149165137995566
A,Z_V,veronique_eng_221,maureen_fr_23,marc_fr_18,veronique,maureen,marc,triplet104,IH,U,U,ZIHV,ZUV,ZUV,14.982624672446427,8.119645882363344
A,Z_D,maureen_fr_203,veronique_eng_205,jeremy_eng_216,maureen,veronique,jeremy,triplet105,O,IH,IH,ZOD,ZIHD,ZIHD,10.114769386961495,3.5195940450729677
B,Z_SH,maureen_eng_22,veronique_fr_133,remi_fr_132,maureen,veronique,remi,triplet106,UH,OE,OE,ZUHSH,ZOESH,ZOESH,4.207673933728549,4.371933657910418
B,V_SH,maureen_fr_166,veronique_eng_33,ewan_eng_36,maureen,veronique,ewan,triplet107,O,UH,UH,VOSH,VUHSH,VUHSH,6.916313673831033,7.008811735371391
A,V_G,maureen_eng_45,veronique_fr_95,remi_fr_94,maureen,veronique,remi,triplet108,AE,Y,Y,VAEG,VYG,VYG,12.167245483401004,5.535701819850296
A,Z_SH,maureen_fr_170,veronique_eng_48,ewan_eng_52,maureen,veronique,ewan,triplet109,A,AE,AE,ZASH,ZAESH,ZAESH,3.4149154025860677,2.8449608716426074
B,SH_S,maureen_eng_31,veronique_fr_107,remi_fr_106,maureen,veronique,remi,triplet110,UH,I,I,SHUHS,SHIS,SHIS,5.40534258154653,1.5173506544711608
B,Z_S,maureen_fr_55,veronique_eng_218,ewan_eng_235,maureen,veronique,ewan,triplet111,E,IH,IH,ZES,ZIHS,ZIHS,5.403511059488686,2.5465502211742934
A,V_F,maureen_eng_121,veronique_fr_159,remi_fr_158,maureen,veronique,remi,triplet112,AH,O,O,VAHF,VOF,VOF,4.522489289743522,3.668736387954845